PIB per cápita en dólares (ajustados a dólares de 2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2197,2197,2199,2260,2295,2169,2112,2337,2467,2478,2734,2862,3012,3294,3312,3265,3292,3423,3424,3767,3626,3763,3446,3227,3423,3213,3429,3188,3214,3445,3625,3494,3662,3688,3822,3868,4008,3878,3892,4202,4107,4174,4301,4339,4559,4570,4620,4535,4532,4426,4524,4627,4683,4902,5172,5391,5499,5760,5938,5869,4944
Filipinas,1193,1220,1237,1281,1283,1310,1327,1356,1383,1407,1417,1451,1487,1572,1580,1620,1714,1760,1801,1851,1895,1907,1924,1907,1725,1564,1576,1602,1664,1722,1730,1681,1647,1643,1675,1712,1772,1822,1773,1792,1831,1847,1876,1931,2018,2078,2149,2251,2310,2305,2433,2484,2611,2740,2867,3001,3168,3338,3501,3665,3272
Finlandia,11425,12208,12487,12806,13402,14066,14346,14578,14846,16280,17129,17510,18753,19949,20487,20764,20773,20765,21310,22769,23922,24133,24744,25364,26046,26858,27508,28411,29806,31210,31280,29278,28155,27834,28812,29913,30908,32768,34465,35891,37884,38785,39351,40044,41522,42531,44074,46213,46359,42412,43564,44467,43637,43045,42711,42802,43879,45174,45629,46135,45010
Francia,11176,11579,12200,12780,13451,13938,14521,15102,15657,16644,17526,18313,18986,20033,20745,20416,21192,21827,22602,23309,23572,23708,24176,24343,24574,24833,25270,25770,26840,27855,28524,28663,28977,28671,29238,29746,30060,30653,31637,32551,33597,34015,34152,34190,34900,35214,35826,36468,36357,35131,35640,36246,36183,36205,36379,36653,36957,37694,38292,38912,35786
Gabón,3387,3849,4092,4288,4421,4713,4837,4937,4956,5246,5589,6046,6610,7152,9790,11438,15188,12985,9637,9454,9461,9698,9161,9427,9869,9383,9056,7299,8011,8458,8656,8937,8430,8531,8618,8815,8905,9182,9268,8236,7888,7867,7662,7647,7507,7504,7092,7301,6846,6635,6864,7086,7181,7305,7350,7385,7313,7145,7020,7116,6818
Georgia,NA,NA,NA,NA,NA,1796,1910,2009,2080,2159,2396,2429,2473,2611,2816,3001,3162,3357,3585,3821,3962,4137,4184,4326,4522,4704,4281,4301,4495,4160,3546,2778,1519,1066,970,1033,1191,1359,1437,1509,1567,1668,1775,1984,2112,2330,2564,2901,2980,2897,3101,3357,3597,3739,3903,4014,4128,4328,4539,4773,4448
Ghana,1154,1157,1166,1179,1169,1153,1075,1082,1062,1099,1176,1205,1142,1143,1189,1016,960,963,1026,980,962,905,818,758,799,815,832,847,869,888,891,912,920,937,942,954,973,988,1009,1028,1041,1056,1077,1105,1139,1176,1220,1240,1319,1348,1419,1580,1686,1768,1777,1774,1793,1896,1970,2054,2021
Granada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3269,3487,3703,3665,3657,3705,3724,3761,3926,4199,4616,4816,5059,5295,5361,5277,5117,5146,5206,5398,5638,6272,6678,6977,6809,7016,7653,7578,8559,8195,8677,8736,8133,8058,8077,7934,8067,8601,9097,9380,9743,10115,10133,8699
Grecia,5031,5650,5637,6281,6847,7549,7981,8365,8909,9903,10727,11518,12606,13564,12644,13324,14017,14243,15078,15380,15333,14960,14700,14457,14674,14984,15012,14624,15196,15691,15526,15816,15806,15462,15692,15947,16331,16980,17543,18013,18643,19312,19997,21105,22118,22186,23369,24073,23929,22839,21560,19401,18124,17796,18000,18084,18071,18304,18647,19004,17324
Guatemala,1855,1879,1889,2009,2042,2072,2125,2153,2280,2327,2399,2472,2591,2703,2810,2801,2941,3100,3181,3253,3292,3228,3032,2875,2811,2718,2648,2667,2695,2725,2734,2759,2817,2854,2896,2966,2981,3039,3116,3160,3195,3192,3240,3251,3282,3320,3428,3574,3621,3570,3606,3689,3732,3802,3903,3995,4034,4091,4160,4254,4126
Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,526,527,544,548,555,554,557,569,577,588,598,613,619,627,628,637,657,653,655,661,655,684,696,673,689,712,738,750,760,769,830,891,921,946,962
Guinea Ecuatorial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528,528,502,486,457,486,453,455,453,435,414,397,518,556,626,710,1139,2737,3254,3926,4454,6983,8004,8745,11559,12908,13283,14620,16439,15906,13841,14099,14614,13422,12927,11283,9894,8987,8124,7413,6860
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517,488,509,505,520,555,579,536,606,616,513,597,610,575,612,622,603,607,621,644,669,687,679,678,685,700,766,800,564,559,577,578,560,550,552,562,562,566,570,574,586,617,590,593,584,603,625,645,638,650,619
Guyana,2721,2764,2716,2320,2522,2728,2816,2888,2874,3033,3121,3178,3038,3042,3241,3478,3493,3364,3270,3185,3224,3265,2836,2651,2530,2607,2604,2651,2577,2467,2398,2540,2722,2922,3152,3300,3565,3799,3756,3889,3851,3947,3994,3966,4025,3944,4146,4443,4512,4682,4847,5089,5339,5505,5568,5577,5760,5945,6179,6478,9250
Haití,1730,1647,1742,1677,1617,1621,1581,1518,1537,1567,1549,1621,1610,1659,1725,1713,1823,1854,1929,2031,2133,2026,1908,1881,1843,1812,1764,1713,1681,1599,1583,1581,1469,1363,1177,1270,1299,1310,1315,1327,1316,1289,1281,1304,1266,1284,1286,1325,1339,1396,1297,1343,1329,1367,1371,1387,1393,1410,1415,1374,1312
Honduras,1221,1209,1243,1253,1284,1360,1393,1433,1484,1450,1459,1473,1512,1584,1518,1504,1612,1725,1773,1815,1771,1696,1611,1577,1627,1668,1705,1765,1744,1741,1739,1634,1685,1744,1699,1754,1736,1765,1777,1715,1790,1791,1810,1846,1913,1981,2063,2141,2184,2086,2121,2160,2207,2228,2256,2302,2351,2424,2475,2499,2239
Hungría,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7592,7363,7328,7555,7678,7698,7955,8285,8564,8971,9357,9829,10260,10797,11283,11747,11797,11937,11167,11314,11557,11470,11710,12237,12721,13038,13631,14379,15041,14401
India,303,308,310,322,339,323,317,334,338,353,363,361,351,354,350,373,371,388,401,372,388,401,406,425,432,444,455,463,497,515,533,528,545,560,586,618,653,666,695,743,758,781,797,845,898,954,1015,1076,1093,1162,1244,1293,1347,1416,1503,1606,1719,1817,1914,1966,1818
Indonesia,601,619,614,585,589,580,580,572,618,642,673,701,731,770,805,829,866,915,954,998,1072,1130,1129,1152,1204,1208,1252,1289,1336,1414,1490,1563,1637,1715,1815,1934,2054,2120,1816,1805,1868,1909,1968,2035,2109,2199,2289,2403,2514,2595,2720,2849,2981,3104,3217,3332,3457,3590,3733,3877,3757
Iraq,NA,NA,NA,NA,NA,NA,NA,NA,1266,1262,1275,1300,1305,1319,1482,1614,1831,1807,2050,2403,2911,2810,2828,2395,2301,2279,2332,2495,2441,2312,3559,1246,1606,2032,2047,2027,2182,2564,3352,3823,4337,4284,3819,2352,3515,3493,3620,3627,3860,3909,4052,4218,4631,4794,4628,4688,5183,4961,4975,5133,4448
Irlanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12017,12290,12894,13288,13627,14163,14145,15101,15958,16231,16539,16890,17113,16951,17580,18093,18007,18845,19913,21155,22926,23235,23848,24368,25670,27999,29826,32781,35282,38557,41623,43139,44919,45523,47731,49382,50462,51625,48314,45386,45932,46221,46001,46339,50010,62012,62569,67424,72608,75143,78733
Islandia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34188,35557,37303,39623,40726,42175,43288,43143,43764,46766,48851,50732,53646,53821,49527,48194,48934,49192,50947,51233,52952,55514,56501,57699,57819,53188
Islas Marshall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,2507,2767,2742,2452,2911,3036,3129,2960,2947,2880,3033,3177,3338,3595,3220,3017,2998,2957,2977,3139,3197,3081,3053,3080,3042,3124,2925,3013,3208,3179,3096,3208,3163,3200,3226,3312,3409,3613,3509
Islas Salomón,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2374,2255,2145,2157,2094,1968,1907,2010,1979,2007,1995,2055,2252,2276,2392,2560,2529,2437,2401,2324,1939,1737,1644,1706,1774,1827,1871,1910,1976,1980,2099,2195,2178,2232,2195,2167,2234,2292,2321,2290,2136
Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25180,26008,26362,26848,27107,28748,28107,27493,27311,28151,28810,29940,31208,31718,31323,32505,33678,33995,34961,35711,35808,36680,37551,38301,38995,37488
Italia,9688,10413,10984,11516,11741,12023,12644,13454,14245,15028,15736,15948,16443,17495,18337,17847,19024,19428,19986,21116,21795,21953,22027,22277,22990,23627,24301,25074,26113,26978,27491,27894,28108,27851,28444,29265,29627,30154,30691,31185,32351,32964,32998,32897,33150,33258,33752,34081,33530,31615,32058,32229,31185,30258,29980,30242,30686,31244,31593,32120,29358
Jamaica,NA,NA,NA,NA,NA,NA,3945,3966,4142,4316,4770,4814,5590,5198,4900,4816,4434,4266,4213,4116,3826,3866,3881,3889,3772,3615,3648,3906,4037,4301,4452,4630,4679,5071,5091,5160,5104,4996,4833,4839,4841,4870,4934,5083,5121,5138,5260,5308,5240,4987,4889,4946,4888,4884,4890,4908,4949,4974,5044,5065,4539
Japón,6261,6952,7501,8055,8902,9320,10217,11233,12538,13936,14114,14457,15455,16463,16047,16334,16802,17371,18121,18953,19334,20012,20525,21123,21912,22899,23528,24503,26027,27200,28422,29308,29463,29232,29467,30171,31046,31276,30795,30636,31431,31476,31416,31830,32515,33099,33532,33990,33558,31651,32942,33011,33518,34240,34387,34961,35242,35862,36117,36081,34556
Jordania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2699,2847,3180,3733,4019,4544,4676,4388,4390,4101,4161,4100,4000,3421,3252,3134,3388,3351,3351,3420,3386,3414,3449,3504,3588,3708,3849,3923,4148,4341,4516,4679,4787,4782,4644,4521,4387,4275,4221,4164,4119,4106,4110,4134,4029
Kazajstán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5831,5157,4887,4454,3949,3701,3776,3901,3894,4037,4446,5055,5551,6046,6581,7155,7838,8438,8555,8488,8979,9507,9824,10264,10539,10511,10476,10759,11053,11403,10974
Kenya,751,672,712,750,763,753,836,835,872,909,837,986,1114,1137,1140,1108,1090,1149,1182,1225,1244,1242,1213,1183,1159,1164,1202,1229,1259,1273,1283,1259,1209,1176,1170,1186,1200,1171,1177,1171,1146,1157,1132,1135,1160,1196,1239,1287,1255,1261,1326,1357,1382,1397,1430,1465,1490,1511,1560,1603,1563
Kirguistán,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023,1037,1153,1161,1203,1090,928,785,627,587,620,671,675,689,718,749,742,786,831,821,837,900,966,982,966,1011,994,1081,1102,1121,1146,1177,1198,1227,1103
Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2161,2078,2293,2732,3914,4064,2933,2757,2745,2391,1969,1878,1981,1938,1999,1824,1767,1564,1662,1566,1519,1492,1484,1478,1485,1465,1467,1468,1538,1488,1554,1506,1537,1541,1488,1531,1497,1493,1429,1409,1366,1366,1415,1453,1417,1535,1506,1481,1536,1505,1474
Kuwait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34712,34473,33603,32534,29979,29952,29186,29591,34322,37169,39850,40977,41171,39777,34800,32035,33167,33455,32136,30857,29870,29801,27702,27819,27207,24429
Lesotho,231,231,262,284,301,302,294,319,311,309,309,317,309,382,413,348,376,445,511,511,483,473,481,478,492,493,504,497,528,547,567,593,620,628,651,660,684,697,697,693,715,739,747,785,804,836,874,912,962,948,996,1037,1097,1109,1120,1146,1178,1132,1109,1127,1033
Letonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4971,5157,5669,6085,6304,6727,7245,7849,8593,9407,10528,11896,13186,12893,11240,10964,11451,12410,12796,13163,13786,14242,14845,15558,16056,15560
Líbano,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5062,2869,3531,5062,5598,5876,6059,6221,6766,6748,6929,6793,6713,6712,6625,6517,6677,6668,6684,7295,7961,8687,9115,8754,8434,8201,7938,7643,7552,7503,7318,6816,5072
Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,776,770,780,536,540,554,578,609,626,634,649,680,713,754,740,722,693,692,683,650,616
Libia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10526,10747,10392,10129,11265,11583,12760,13386,14010,13794,13025,13539,6670,12386,10101,7723,7590,7392,9662,10277,8993,6748
Lituania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4936,5230,5707,6178,6151,6423,6899,7424,8276,8919,9766,10659,11985,12425,10700,11107,12047,12679,13262,13850,14264,14810,15662,16444,17241,17214
Luxemburgo,25520,26257,26290,26913,28707,28173,28281,28249,29356,32125,35514,36115,38034,40743,41909,38730,39515,40066,41624,42500,42705,42345,42789,44056,46734,47946,52497,54218,58382,63482,66027,70780,71117,73116,74883,74896,74917,77993,82170,87695,92528,94244,96270,97598,100293,101222,105614,112418,110095,104574,106544,105290,104488,105339,105584,105462,108351,107142,107202,108570,104879
Macedonia del Norte,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3654,3433,3215,2982,2933,2898,2923,2955,3038,3155,3283,3169,3240,3301,3446,3601,3780,4018,4231,4208,4340,4434,4408,4531,4687,4862,4995,5044,5185,5386,5067
Madagascar,814,811,809,782,793,770,766,788,820,828,849,858,824,781,774,762,718,715,676,722,708,620,591,580,573,563,559,549,552,559,560,509,500,496,481,474,469,472,475,482,488,501,426,453,463,471,482,495,514,480,469,464,465,463,465,467,473,479,481,489,442
Malasia,1235,1288,1327,1380,1410,1475,1547,1566,1650,1689,1748,1878,2007,2190,2317,2279,2480,2606,2708,2887,3026,3160,3269,3392,3566,3437,3383,3456,3688,3906,4139,4414,4684,5020,5348,5727,6141,6424,5803,6010,6393,6286,6488,6728,7044,7275,7531,7850,8074,7809,8248,8550,8889,9179,9601,9955,10258,10708,11076,11415,10632
Malawi,179,188,185,178,178,197,218,228,218,225,220,249,257,256,267,276,281,286,304,308,301,278,278,281,287,287,272,260,253,244,249,265,243,266,238,275,290,294,297,298,294,273,271,279,287,289,295,314,328,346,359,366,362,370,381,381,380,384,391,401,394
Maldivas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5539,5858,6238,6590,6867,6982,6544,6832,7553,7788,6589,8110,8535,9119,8222,8522,8893,8733,8955,9182,9033,9190,9438,9823,10197,6661
Malí,NA,NA,NA,NA,NA,NA,NA,351,359,355,372,375,390,378,366,401,448,468,453,491,461,459,416,415,406,479,485,477,506,519,497,543,513,516,521,512,534,546,572,588,572,641,641,678,667,688,697,697,707,717,732,732,705,701,729,751,772,789,802,815,782
Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3135,3212,3402,3546,3905,4634,5395,6029,6632,7254,7685,7881,7890,7732,7803,7865,8036,8309,8934,9571,10074,10420,10797,11168,11690,12345,12727,13295,13886,14456,17189,16860,17165,17747,17653,18134,18522,19338,19948,19574,20558,20566,21222,22071,23286,24922,25181,27216,27868,28364,25427
Marruecos,NA,NA,NA,NA,NA,NA,728,781,838,888,910,940,943,957,990,1041,1128,1168,1166,1192,1206,1156,1229,1217,1265,1311,1402,1370,1503,1517,1540,1621,1559,1521,1655,1541,1707,1658,1755,1752,1763,1870,1905,1995,2066,2109,2242,2295,2402,2473,2534,2631,2673,2755,2789,2875,2867,2950,3005,3045,2819
Mauricio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2350,2464,2525,2568,2271,2370,2469,2456,2545,2700,2940,3178,3370,3494,3718,3842,4038,4194,4306,4452,4653,4857,5098,5165,5534,5674,5726,6022,6243,6316,6593,6939,7286,7508,7818,8124,8384,8647,8955,9260,9609,9967,10336,10644,9058
Mauritania,NA,1216,1189,1132,1403,1581,1538,1545,1652,1623,1763,1743,1679,1555,1693,1560,1644,1566,1513,1540,1546,1553,1473,1484,1396,1398,1438,1426,1412,1442,1379,1368,1358,1401,1324,1418,1463,1369,1371,1385,1296,1252,1234,1283,1307,1379,1585,1510,1462,1422,1417,1433,1454,1470,1489,1524,1500,1550,1575,1621,1550
México,3742,3809,3864,4050,4393,4561,4691,4814,5107,5121,5290,5326,5594,5858,6021,6192,6293,6338,6731,7202,7677,8134,7904,7455,7539,7538,7154,7130,7080,7229,7461,7632,7761,7773,8019,7391,7766,8169,8461,8567,8862,8703,8581,8587,8801,8878,9143,9214,9181,8569,8879,9076,9280,9283,9426,9617,9752,9842,9946,9820,8923
Micronesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2482,2454,2461,2492,2525,2645,2680,2828,2756,2908,2796,2622,2704,2752,2895,2964,2984,3035,2949,3023,3042,3013,2966,3015,3085,3167,3076,2923,2815,2907,2897,2942,2917,2921,2839
Mónaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75169,78318,80841,84744,87166,85038,87676,89778,92330,94502,94798,94229,94876,94444,94434,94965,96577,98617,102884,106886,109249,109628,110270,108226,109566,110812,111067,112582,115470,118225,121655,123069,123081,123143,124848,125925,131882,149447,148993,130795,132094,139708,139443,150972,160000,165990,170154,162819,171224,181709,159222
Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1433,1514,1562,1613,1660,1765,1775,1816,1846,1752,1575,1413,1357,1375,1452,1472,1517,1554,1588,1592,1624,1685,1784,1952,2068,2217,2411,2588,2515,2630,3028,3336,3651,3860,3875,3859,4001,4234,4395,4127
Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4489,4723,4291,4432,4462,4529,4623,4819,5013,5436,5798,6206,5834,5982,6169,5996,6203,6307,6517,6708,7023,7382,7684,6516
Mozambique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,248,226,187,172,172,167,192,208,221,220,225,204,217,222,219,236,256,275,299,295,321,341,353,370,384,409,429,448,463,480,502,523,544,569,590,595,600,603,599,575
Myanmar,NA,145,145,155,156,156,156,144,145,152,155,158,159,157,156,160,165,171,177,184,191,201,208,214,219,223,221,212,192,181,184,184,190,202,213,226,238,249,260,279,310,345,381,427,481,542,610,682,753,826,903,963,1017,1088,1168,1197,1313,1380,1460,1548,1587
Namibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3288,3249,3165,3034,2947,2872,2908,2902,2816,2766,2731,2866,2990,2871,2853,2899,2928,2989,3027,3072,3125,3111,3211,3298,3647,3681,3875,4012,4044,3982,4147,4282,4421,4588,4782,4897,4809,4671,4632,4505,4075
Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3432,3347,3669,2825,3441,3729,4117,4501,4980,6458,8110,8341,8556,7986,8393,8326,8367
